#         Lambda    Transmission
         658169.0000            0.000000
         673964.0000            0.010200
         690137.0000            0.020410
         706699.0000            0.040820
         723658.0000            0.061220
         741024.0000            0.102040
         758806.0000            0.122450
         777016.0000            0.183670
         795662.0000            0.244900
         814756.0000            0.306120
         834308.0000            0.387760
         854329.0000            0.489800
         874831.0000            0.591840
         895824.0000            0.673470
         917322.0000            0.734690
         939336.0000            0.816330
         961877.0000            0.877550
         984960.0000            0.938780
        1008600.0000            0.959180
        1032800.0000            0.959180
        1057590.0000            0.948980
        1082960.0000            1.000000
        1108950.0000            0.979590
        1135560.0000            0.857140
        1162820.0000            0.408160
        1190720.0000            0.306120
        1219290.0000            0.326530
        1248550.0000            0.204080
        1278520.0000            0.142860
        1309200.0000            0.122450
        1340620.0000            0.081630
        1372790.0000            0.040820
