#         Lambda    Transmission
          61511.5000            0.000071
          61584.6016            0.000124
          61657.8008            0.000188
          61731.1992            0.000206
          61804.8008            0.000180
          61878.6016            0.000147
          61952.5000            0.000096
          62026.6016            0.000050
          62100.8984            0.000083
          62175.3008            0.000123
          62250.0000            0.000147
          62324.8008            0.000198
          62399.8008            0.000228
          62475.0000            0.000231
          62550.3008            0.000232
          62625.8984            0.000287
          62701.6016            0.000471
          62777.5000            0.000768
          62853.6016            0.001189
          62929.8984            0.002016
          63006.3984            0.003362
          63083.0000            0.005239
          63159.8008            0.007906
          63236.8984            0.011740
          63314.1016            0.016260
          63391.5000            0.021640
          63469.1016            0.028570
          63546.8984            0.036160
          63624.8008            0.043950
          63703.0000            0.053290
          63781.3008            0.062440
          63859.8984            0.073090
          63938.6016            0.085940
          64017.6016            0.100400
          64096.6992            0.112900
          64176.0000            0.125500
          64255.6016            0.137800
          64335.3008            0.148500
          64415.1992            0.158900
          64495.3008            0.167100
          64575.6016            0.174000
          64656.1016            0.179300
          64736.8984            0.184800
          64817.8008            0.189800
          64898.8984            0.197100
          64980.1992            0.204900
          65061.8008            0.211700
          65143.5000            0.217000
          65225.3984            0.219900
          65307.6016            0.221500
          65390.0000            0.224000
          65472.5000            0.227200
          65555.2969            0.229500
          65638.2969            0.231300
          65721.5000            0.232600
          65804.8984            0.232800
          65888.5000            0.232900
          65972.2969            0.233500
          66056.2969            0.233100
          66140.6016            0.232500
          66225.1016            0.230100
          66309.7969            0.228000
          66394.7031            0.226100
          66479.7969            0.223700
          66565.1016            0.222600
          66650.7031            0.221600
          66736.5000            0.222000
          66822.5000            0.223600
          66908.7031            0.226200
          66995.1016            0.228600
          67081.7969            0.231000
          67168.7031            0.233000
          67255.7969            0.234700
          67343.2031            0.236000
          67430.7031            0.237200
          67518.5000            0.237800
          67606.6016            0.239300
          67694.7969            0.240600
          67783.2969            0.241800
          67872.0000            0.242900
          67961.0000            0.244000
          68050.2031            0.244800
          68139.6016            0.246100
          68229.2969            0.247100
          68319.1016            0.248100
