#         Lambda    Transmission
        1000851.0000            0.000447
        1002105.0000            0.000474
        1003363.0000            0.000367
        1004623.0000            0.000407
        1005887.0000            0.000472
        1007154.0000            0.000494
        1008424.0000            0.000539
        1009697.0000            0.000589
        1010974.0000            0.000553
        1012253.0000            0.000548
        1013536.0000            0.000680
        1014822.0000            0.000700
        1016112.0000            0.000596
        1017405.0000            0.000557
        1018701.0000            0.000641
        1020000.0000            0.000724
        1021303.0000            0.000677
        1022609.0000            0.000715
        1023918.0000            0.000766
        1025231.0000            0.000665
        1026547.0000            0.000725
        1027866.0000            0.000715
        1029189.0000            0.000719
        1030516.0000            0.000799
        1031845.0000            0.000749
        1033178.0000            0.000752
        1034515.0000            0.000789
        1035855.0000            0.000822
        1037199.0000            0.000846
        1038546.0000            0.000819
        1039896.0000            0.000786
        1041250.0000            0.000797
        1042608.0000            0.000900
        1043969.0000            0.000966
        1045334.0000            0.000952
        1046702.0000            0.000808
        1048074.0000            0.000738
        1049449.0000            0.000819
        1050828.0000            0.000927
        1052211.0000            0.000932
        1053597.0000            0.000831
        1054987.0000            0.000792
        1056381.0000            0.000796
        1057778.0000            0.000819
        1059179.0000            0.000870
        1060584.0000            0.000904
        1061992.0000            0.000924
        1063404.0000            0.000889
        1064820.0000            0.000901
        1066240.0000            0.000943
        1067664.0000            0.000881
        1069091.0000            0.000796
        1070522.0000            0.000866
        1071957.0000            0.000943
        1073396.0000            0.000932
        1074839.0000            0.001009
        1076286.0000            0.000936
        1077736.0000            0.000803
        1079190.0000            0.000997
        1080649.0000            0.001114
        1082111.0000            0.001061
        1083577.0000            0.001021
        1085048.0000            0.000981
        1086522.0000            0.000917
        1088000.0000            0.000933
        1089482.0000            0.000937
        1090969.0000            0.000876
        1092459.0000            0.000864
        1093954.0000            0.000883
        1095452.0000            0.001011
        1096955.0000            0.001149
        1098462.0000            0.001216
        1099973.0000            0.001242
        1101488.0000            0.001255
        1103007.0000            0.001211
        1104531.0000            0.001216
        1106058.0000            0.001288
        1107590.0000            0.001282
        1109126.0000            0.001384
        1110667.0000            0.001455
        1112212.0000            0.001513
        1113761.0000            0.001442
        1115314.0000            0.001455
        1116872.0000            0.001539
        1118434.0000            0.001477
        1120000.0000            0.001562
        1121571.0000            0.001587
