 TOTL  4861A
 TOTL  1216A
 Inci     0 
 TotH     0 
 TotC     0 
 BFH1     0 
 BFHx     0 
 Line     0 
 BFHe     0 
 TotM     0 
 pair     0 
 Cbnd     0 
 ComH     0 
 ComC     0 
 advC     0 
 advH     0 
 CT H     0 
 CT C     0 
 CR H     0 
 extH     0 
 extC     0 
 e-e+     0 
 Expn     0 
 H FB     0 
 HFBc     0 
 HFBh     0 
 Hind     0 
 3He2     0 
 Cycn     0 
 #### 1.000A
 Bac   3646A
 nFnu  3645A
 nFnu  3647A
 cout  3646A
 cref  3646A
 thin  3646A
 Inci  4860A
 Inci  1215A
 Ba C     0 
 PA C     0 
 NIRa 2.850m
 NIRb 3.000m
 TALL 10000A
 PAH  3.300m
 PAHC 3.200m
 PAH  6.200m
 PAHC 5.650m
 PAH  7.900m
 PAHC 6.900m
 Bcon  3650A
 Pcon  5000A
 HFFc     0 
 HFFh     0 
 H FF     0 
 FF H     0 
 HeFF     0 
 HeFB     0 
 MeFB     0 
 MeFF     0 
 ToFF     0 
 FF X     0 
 eeff     0 
 nFnu 9.480m
 nInu 9.480m
 InwT 9.480m
 InwC 9.480m
 nFnu 9.325m
 nInu 9.325m
 InwT 9.325m
 InwC 9.325m
 nFnu 8.210m
 nInu 8.210m
 InwT 8.210m
 InwC 8.210m
 nFnu 7.580m
 nInu 7.580m
 InwT 7.580m
 InwC 7.580m
 nFnu 7.050m
 nInu 7.050m
 InwT 7.050m
 InwC 7.050m
 nFnu 4.114m
 nInu 4.114m
 InwT 4.114m
 InwC 4.114m
 nFnu 2.324m
 nInu 2.324m
 InwT 2.324m
 InwC 2.324m
 nFnu 1.643m
 nInu 1.643m
 InwT 1.643m
 InwC 1.643m
 nFnu 1.480m
 nInu 1.480m
 InwT 1.480m
 InwC 1.480m
 nFnu 1.436m
 nInu 1.436m
 InwT 1.436m
 InwC 1.436m
 nFnu 1.119m
 nInu 1.119m
 InwT 1.119m
 InwC 1.119m
 nFnu  8330A
 nInu  8330A
 InwT  8330A
 InwC  8330A
 nFnu  8079A
 nInu  8079A
 InwT  8079A
 InwC  8079A
 nFnu  6210A
 nInu  6210A
 InwT  6210A
 InwC  6210A
 nFnu  4885A
 nInu  4885A
 InwT  4885A
 InwC  4885A
 nFnu  3704A
 nInu  3704A
 InwT  3704A
 InwC  3704A
 nFnu  3588A
 nInu  3588A
 InwT  3588A
 InwC  3588A
 nFnu  2430A
 nInu  2430A
 InwT  2430A
 InwC  2430A
 nFnu  2392A
 nInu  2392A
 InwT  2392A
 InwC  2392A
 nFnu  2071A
 nInu  2071A
 InwT  2071A
 InwC  2071A
 nFnu  2053A
 nInu  2053A
 InwT  2053A
 InwC  2053A
 nFnu  1793A
 nInu  1793A
 InwT  1793A
 InwC  1793A
 nFnu  1585A
 nInu  1585A
 InwT  1585A
 InwC  1585A
 nFnu  1458A
 nInu  1458A
 InwT  1458A
 InwC  1458A
 nFnu  1357A
 nInu  1357A
 InwT  1357A
 InwC  1357A
 nFnu  1297A
 nInu  1297A
 InwT  1297A
 InwC  1297A
 nFnu  1263A
 nInu  1263A
 InwT  1263A
 InwC  1263A
 nFnu  1218A
 nInu  1218A
 InwT  1218A
 InwC  1218A
 nFnu  1196A
 nInu  1196A
 InwT  1196A
 InwC  1196A
 nFnu  1175A
 nInu  1175A
 InwT  1175A
 InwC  1175A
 nFnu  1144A
 nInu  1144A
 InwT  1144A
 InwC  1144A
 nFnu  1113A
 nInu  1113A
 InwT  1113A
 InwC  1113A
 nFnu  1103A
 nInu  1103A
 InwT  1103A
 InwC  1103A
 nFnu  1074A
 nInu  1074A
 InwT  1074A
 InwC  1074A
 nFnu  1064A
 nInu  1064A
 InwT  1064A
 InwC  1064A
 nFnu  1036A
 nInu  1036A
 InwT  1036A
 InwC  1036A
 nFnu  1000A
 nInu  1000A
 InwT  1000A
 InwC  1000A
 nFnu 925.1A
 nInu 925.1A
 InwT 925.1A
 InwC 925.1A
 nFnu 897.8A
 nInu 897.8A
 InwT 897.8A
 InwC 897.8A
 nFnu 760.0A
 nInu 760.0A
 InwT 760.0A
 InwC 760.0A
 nFnu 701.5A
 nInu 701.5A
 InwT 701.5A
 InwC 701.5A
 nFnu 608.2A
 nInu 608.2A
 InwT 608.2A
 InwC 608.2A
 nFnu 575.1A
 nInu 575.1A
 InwT 575.1A
 InwC 575.1A
 nFnu 511.9A
 nInu 511.9A
 InwT 511.9A
 InwC 511.9A
 nFnu 496.9A
 nInu 496.9A
 InwT 496.9A
 InwC 496.9A
 nFnu 399.2A
 nInu 399.2A
 InwT 399.2A
 InwC 399.2A
 #### 2.000A
 GrGH     0 
 GrTH     0 
 GrGC     0 
 GrGC     0 
 GraT     0 
 GraI     0 
 GraL  1216A
 GraC     0 
 GraD     0 
 #### 3.000A
 Clin 912.0A
 Hlin 912.0A
 Cool  1216A
 Heat  1216A
 Crst 960.0A
 Hrst 960.0A
 Crst  4861A
 Hrst  4861A
 Crst     0 
 Hrst     0 
 LA X  1216A
 Pump  4861A
 CION     0 
 3bHt     0 
 Strk  1216A
 Strk  6563A
 Strk  4861A
 Strk 1.875m
 Strk 4.051m
 Dest  1216A
 Dest  6563A
 Dest 4.052m
 Dest  4861A
 Dest 1.875m
 Fe 2  1216A
 Ca B  1216A
 Q(H)  4861A
 Q(H)  1216A
 CaBo  4861A
 CaBo  1640A
 CaBo  4686A
 Ca A  1216A
 Ca A  1026A
 Ca A 972.5A
 Ca A 949.7A
 Ca A 937.8A
 Ca A 930.8A
 Ca A 926.2A
 Ca A 923.2A
 Ca A 921.0A
 Ca A 919.4A
 Ca A 918.1A
 Ca A 917.2A
 Ca A 916.4A
 Ca A 915.8A
 Ca A 915.3A
 Ca A 914.9A
 Ca A 914.6A
 Ca A 914.3A
 Ca A 914.0A
 Ca A 913.8A
 Ca A 913.6A
 Ca A 913.5A
 Ca A 913.3A
 Ca A  6563A
 Ca A  4861A
 Ca A  4340A
 Ca A  4102A
 Ca A  3970A
 Ca A  3889A
 Ca A  3835A
 Ca A  3798A
 Ca A  3771A
 Ca A  3750A
 Ca A  3734A
 Ca A  3722A
 Ca A  3712A
 Ca A  3704A
 Ca A  3697A
 Ca A  3692A
 Ca A  3687A
 Ca A  3683A
 Ca A  3679A
 Ca A  3676A
 Ca A  3674A
 Ca A  3671A
 Ca A 1.875m
 Ca A 1.282m
 Ca A 1.094m
 Ca A 1.005m
 Ca A  9546A
 Ca A  9229A
 Ca A  9015A
 Ca A  8863A
 Ca A  8750A
 Ca A  8665A
 Ca A  8598A
 Ca A  8545A
 Ca A  8502A
 Ca A  8467A
 Ca A  8438A
 Ca A  8413A
 Ca A  8392A
 Ca A  8374A
 Ca A  8359A
 Ca A  8346A
 Ca A  8334A
 Ca A 4.051m
 Ca A 2.625m
 Ca A 2.166m
 Ca A 1.945m
 Ca A 1.817m
 Ca A 1.736m
 Ca A 1.681m
 Ca A 1.641m
 Ca A 1.611m
 Ca A 1.588m
 Ca A 1.570m
 Ca A 1.556m
 Ca A 1.544m
 Ca A 1.534m
 Ca A 1.526m
 Ca A 1.519m
 Ca A 1.513m
 Ca A 1.508m
 Ca A 1.504m
 Ca A 1.500m
 Ca A 7.458m
 Ca A 4.653m
 Ca A 3.740m
 Ca A 3.296m
 Ca A 3.038m
 Ca A 2.872m
 Ca A 2.758m
 Ca A 2.674m
 Ca A 2.612m
 Ca A 2.564m
 Ca A 2.525m
 Ca A 2.495m
 Ca A 2.469m
 Ca A 2.448m
 Ca A 2.431m
 Ca A 2.416m
 Ca A 2.403m
 Ca A 2.392m
 Ca A 2.382m
 Ca A 7.500m
 Ca A 5.907m
 Ca A 5.127m
 Ca A 4.671m
 Ca A 4.375m
 Ca A 4.170m
 Ca A 4.020m
 Ca A 3.906m
 Ca A 3.818m
 Ca A 3.748m
 Ca A 3.692m
 Ca A 3.645m
 Ca A 3.606m
 Ca A 3.573m
 Ca A 3.545m
 Ca A 3.521m
 Ca A 3.500m
 Ca A 8.758m
 Ca A 7.506m
 Ca A 6.770m
 Ca A 6.290m
 Ca A 5.955m
 Ca A 5.710m
 Ca A 5.524m
 Ca A 5.378m
 Ca A 5.262m
 Ca A 5.168m
 Ca A 5.090m
 Ca A 5.025m
 Ca A 4.970m
 Ca A 4.922m
 Ca A 4.882m
 Ca A 9.389m
 Ca A 8.662m
 Ca A 8.153m
 Ca A 7.778m
 Ca A 7.493m
 Ca A 7.270m
 Ca A 7.091m
 Ca A 6.945m
 Ca A 6.824m
 Ca A 6.723m
 Ca A 6.637m
 Ca A 6.563m
 Ca A 9.844m
