#abund H	HELI	LITH	BERY	BORO	CARB	NITR	OXYG	FLUO	NEON	SODI	MAGN	ALUM	SILI	PHOS	SULP	CHLO	ARGO	POTA	CALC	SCAN	TITA	VANA	CHRO	MANG	IRON	COBA	NICK	COPP	ZINC
2.00	1.00	-35.93	-35.93	-35.93	-1.66	-2.40	-1.48	-35.93	-2.30	-35.93	-6.00	-35.93	-6.00	-35.93	-3.05	-5.00	-6.00	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-6.00	-35.93	-35.93	-35.93	-35.93
2.00	1.00	-35.93	-35.93	-35.93	-1.66	-2.40	-1.48	-35.93	-2.30	-35.93	-6.00	-35.93	-6.00	-35.93	-3.05	-5.00	-6.00	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-6.00	-35.93	-35.93	-35.93	-35.93
2.00	1.00	-35.93	-35.93	-35.93	-1.66	-2.40	-1.48	-35.93	-2.30	-35.93	-6.00	-35.93	-6.00	-35.93	-3.05	-5.00	-6.00	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-6.00	-35.93	-35.93	-35.93	-35.93
2.00	1.00	-35.93	-35.93	-35.93	-1.66	-2.40	-1.48	-35.93	-2.30	-35.93	-6.00	-35.93	-6.00	-35.93	-3.05	-5.00	-6.00	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-6.00	-35.93	-35.93	-35.93	-35.93
2.00	1.00	-35.93	-35.93	-35.93	-1.66	-2.40	-1.48	-35.93	-2.30	-35.93	-6.00	-35.93	-6.00	-35.93	-3.05	-5.00	-6.00	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-6.00	-35.93	-35.93	-35.93	-35.93
2.00	1.00	-35.93	-35.93	-35.93	-1.66	-2.40	-1.48	-35.93	-2.30	-35.93	-6.00	-35.93	-6.00	-35.93	-3.05	-5.00	-6.00	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-6.00	-35.93	-35.93	-35.93	-35.93
2.00	1.00	-35.93	-35.93	-35.93	-1.66	-2.40	-1.48	-35.93	-2.30	-35.93	-6.00	-35.93	-6.00	-35.93	-3.05	-5.00	-6.00	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-6.00	-35.93	-35.93	-35.93	-35.93
2.00	1.00	-35.93	-35.93	-35.93	-1.66	-2.40	-1.48	-35.93	-2.30	-35.93	-6.00	-35.93	-6.00	-35.93	-3.05	-5.00	-6.00	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-6.00	-35.93	-35.93	-35.93	-35.93
2.00	1.00	-35.93	-35.93	-35.93	-1.66	-2.40	-1.48	-35.93	-2.30	-35.93	-6.00	-35.93	-6.00	-35.93	-3.05	-5.00	-6.00	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-6.00	-35.93	-35.93	-35.93	-35.93
2.00	1.00	-35.93	-35.93	-35.93	-1.66	-2.40	-1.48	-35.93	-2.30	-35.93	-6.00	-35.93	-6.00	-35.93	-3.05	-5.00	-6.00	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-6.00	-35.93	-35.93	-35.93	-35.93
2.00	1.00	-35.93	-35.93	-35.93	-1.66	-2.40	-1.48	-35.93	-2.30	-35.93	-6.00	-35.93	-6.00	-35.93	-3.05	-5.00	-6.00	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-35.93	-6.00	-35.93	-35.93	-35.93	-35.93
