#Emission line structure:
#depth	totl  4861A	o  3  4959A	o  3  5007A	totl  4363A	o  3 88.33m	o  3 51.80m	n  2  6584A	n  2  6548A	n  2  5755A	s  3  9069A	s  3  9532A	s  3  6312A	s ii  6731A	s ii  6716A	o ii  3726A	o ii  3729A	totl  3727A	o ii  7323A	o ii  7332A	he 1  4471A	he 1  5876A	he 1  6678A	he 1  7065A	h  1  6563A	
5.38643e+13	-20.6482	-20.7428	-20.2643	-22.8421	-20.4570	-20.4699	-23.2240	-23.6940	-24.6494	-21.5641	-21.1697	-23.0595	-23.9456	-23.8312	-22.6306	-22.5182	-22.1067	-24.4707	-24.5693	-22.1149	-21.6617	-22.2079	-22.3913	-20.2072
3.23186e+14	-20.6477	-20.7427	-20.2642	-22.8421	-20.4569	-20.4698	-23.2241	-23.6941	-24.6495	-21.5645	-21.1701	-23.0599	-23.9460	-23.8315	-22.6312	-22.5188	-22.1070	-24.4713	-24.5699	-22.1148	-21.6616	-22.2078	-22.3912	-20.2058
1.40047e+15	-20.6450	-20.7423	-20.2637	-22.8422	-20.4565	-20.4693	-23.2238	-23.6937	-24.6493	-21.5644	-21.1699	-23.0597	-23.9457	-23.8312	-22.6306	-22.5182	-22.1065	-24.4707	-24.5693	-22.1145	-21.6612	-22.2074	-22.3908	-20.2007
5.70962e+15	-20.6388	-20.7406	-20.2620	-22.8427	-20.4549	-20.4677	-23.2221	-23.6921	-24.6485	-21.5638	-21.1694	-23.0592	-23.9440	-23.8295	-22.6282	-22.5159	-22.1043	-24.4683	-24.5669	-22.1124	-21.6590	-22.2051	-22.3888	-20.1903
1.36385e+16	-20.6224	-20.7382	-20.2596	-22.8432	-20.4526	-20.4652	-23.2212	-23.6912	-24.6478	-21.5686	-21.1742	-23.0639	-23.9466	-23.8322	-22.6346	-22.5223	-22.1080	-24.4747	-24.5734	-22.1107	-21.6569	-22.2025	-22.3872	-20.1665
2.39459e+16	-20.6116	-20.7425	-20.2639	-22.8583	-20.4499	-20.4620	-23.2236	-23.6935	-24.6479	-21.5744	-21.1800	-23.0757	-23.9510	-23.8365	-22.6459	-22.5336	-22.1146	-24.4909	-24.5895	-22.1058	-21.6515	-22.1967	-22.3830	-20.1626
3.73457e+16	-20.6071	-20.7416	-20.2631	-22.8643	-20.4469	-20.4587	-23.2197	-23.6896	-24.6464	-21.5721	-21.1776	-23.0753	-23.9452	-23.8307	-22.6402	-22.5280	-22.1096	-24.4869	-24.5855	-22.0999	-21.6448	-22.1896	-22.3772	-20.1762
5.47653e+16	-20.6098	-20.7416	-20.2630	-22.8726	-20.4438	-20.4552	-23.2198	-23.6898	-24.6459	-21.5800	-21.1856	-23.0859	-23.9498	-23.8353	-22.6523	-22.5400	-22.1166	-24.5012	-24.5998	-22.0924	-21.6367	-22.1811	-22.3693	-20.2004
7.74108e+16	-20.6197	-20.7422	-20.2637	-22.8831	-20.4406	-20.4513	-23.2155	-23.6855	-24.6444	-21.5799	-21.1854	-23.0893	-23.9444	-23.8298	-22.6508	-22.5385	-22.1143	-24.5027	-24.6013	-22.0826	-21.6262	-22.1701	-22.3595	-20.2200
1.06850e+17	-20.6415	-20.7373	-20.2587	-22.8807	-20.4389	-20.4487	-23.2062	-23.6762	-24.6423	-21.5756	-21.1811	-23.0830	-23.9327	-23.8180	-22.6383	-22.5258	-22.1051	-24.4886	-24.5872	-22.0741	-21.6170	-22.1606	-22.3503	-20.2364
1.45121e+17	-20.6683	-20.7350	-20.2565	-22.8829	-20.4372	-20.4462	-23.1940	-23.6640	-24.6395	-21.5672	-21.1728	-23.0747	-23.9145	-23.7997	-22.6205	-22.5079	-22.0922	-24.4708	-24.5694	-22.0652	-21.6073	-22.1507	-22.3406	-20.2474
