#         Lambda    Transmission
         499599.8125           -0.000290
         502110.4062            0.000066
         504646.3125            0.000866
         507208.0000            0.001816
         509795.8125            0.002936
         512410.0938            0.004346
         515051.4062            0.006087
         517720.0000            0.008170
         520416.5000            0.010677
         523141.1875            0.014090
         525894.6250            0.018454
         528677.1250            0.023109
         531489.1875            0.027443
         534331.3750            0.032523
         537204.1250            0.040173
         540107.8750            0.049711
         543043.3125            0.060504
         546010.8125            0.073617
         549010.8125            0.090147
         552044.0000            0.109523
         555110.8750            0.129620
         558212.1250            0.145772
         561348.1250            0.153541
         564519.6250            0.158599
         567727.1250            0.170037
         570971.3125            0.189803
         574252.6875            0.214929
         577572.1250            0.241451
         580930.1250            0.263499
         584327.3125            0.279945
         587764.5000            0.294817
         591242.3750            0.312668
         594761.6875            0.336648
         598323.1875            0.369982
         601927.5000            0.412077
         605575.6250            0.454126
         609268.1250            0.491189
         613006.0000            0.526436
         616789.8750            0.559559
         620620.8750            0.595150
         624499.8125            0.641587
         628427.5000            0.694072
         632404.8750            0.737970
         636432.8750            0.774680
         640512.6250            0.808052
         644645.0000            0.827862
         648831.0000            0.838341
         653071.6875            0.848857
         657368.1875            0.860528
         661721.6875            0.869998
         666133.1250            0.883175
         670603.8125            0.903375
         675134.8750            0.923421
         679727.6875            0.945281
         684383.3750            0.970016
         689103.1875            0.984766
         693888.6875            0.989037
         698741.1250            0.995237
         703661.8125            1.000000
         708652.3125            0.998268
         713714.1250            0.999989
         718848.6875            1.000645
         724057.8125            0.992201
         729342.8750            0.982083
         734705.6875            0.972578
         740147.8750            0.958518
         745671.3750            0.938603
         751278.0000            0.917937
         756969.5000            0.883038
         762747.8750            0.832029
         768615.1875            0.781721
         774573.3750            0.729882
         780624.8125            0.670221
         786771.3750            0.611989
         793015.6875            0.558421
         799359.8125            0.505731
         805806.1875            0.456761
         812357.5000            0.416541
         819016.1875            0.379062
         825784.8750            0.340729
         832666.3750            0.307558
         839663.6250            0.279367
         846779.3750            0.250857
         854016.8750            0.223651
         861379.1250            0.200818
         868869.3125            0.178981
         876491.0000            0.159608
         884247.5000            0.144221
         892142.6250            0.130385
         900179.8750            0.117319
         908363.3750            0.107147
         916697.0000            0.098924
         925184.8750            0.089555
         933831.5000            0.081557
         942641.3125            0.075779
         951618.8125            0.069010
         960769.0000            0.061375
         970096.8125            0.056092
         979607.6250            0.051865
         989306.6875            0.046722
         999199.6875            0.042140
        1009293.0000            0.038231
        1019592.0000            0.034554
        1030103.0000            0.033021
        1040833.0000            0.032990
        1051789.0000            0.032422
        1062978.0000            0.030687
        1074408.0000            0.030265
        1086087.0000            0.030992
        1098022.0000            0.030270
        1110222.0000            0.029350
