FIR  83m 40m 500m 
TIR  1800m 500m 3100.0m
NIRa 2.85m 0.7m 40m
NIRb 3.0m 1.0m 5.0m
MIRa 15.0m 5.0m 25.0m
MIRb 22.5m 5.0m 40.0m
NMIR 21.75m 0.7m 40m
TFIR 611.25m 122.5m 1100.0m
TALL 1.0m 1e-6m 10000.0m
F  12 8.5m 15m
F  25 19m 30m
F  60 40m 80m
F 100 83m 120m
MIPS  24m  20.8m  26.1m
MIPS  70m  61.0m  80.0m
MIPS 160m 140.0m 174.0m
IRAC 3.6m 3.16m 3.92m
IRAC 4.5m 4.00m 5.02m
IRAC 5.8m 5.00m 6.40m
IRAC 8.0m 6.50m 9.30m
SPR1 250m 212m 288m
SPR2 350m 297m 405m
SPR3 500m 414m 600m
PAC1  70m  60m  82m
PAC2 100m  84m 122m
PAC3 160m 130m 198m
PAH  3.30m 3.25m 3.35m
PAHC 3.23m 3.20m 3.25m
PAHC 3.37m 3.35m 3.40m
PAH  6.2m 5.9m 6.4m
PAHC 5.65m 5.4m 5.9m
PAH  7.9m 7.4m 8.4m
PAHC 6.9m 6.4m 7.4m
PAH  11.3m 11.1m 11.5m
PAHC 10.9m 10.7m 11.1m
PAH  11.8m 11.6m 12.3m
PAHC 12.65m 12.3m 13.0m
PAH  13.3m 12.9m 13.7m
PAHC 14.1m 13.7m 14.5m
Bcon  0.364 0.09116 0.36464
Pcon  0.500 0.36464 0.82044
LIRC  552m 3.00m 1100.00m
